iyear,imonth,iday,provstate,city,latitude,longitude,specificity,location,suicide,target1,gname,nkill,nwound,scite1
2000,1,17,Sindh,Karachi,24.891115,67.143311,1,,0,A market in Karachi,Unknown,9,25,"“Pakistan Daily Sees Indian Hand in Terrorts Acts,” Dawn (Internet Version), January 19, 2000."
2000,1,28,Sindh,Karachi,24.891115,67.143311,1,,0,A mosque in Karachi,Unknown,4,28,"Zahid Hussain, “Bomb kills four, wounds 28 in Karachi mosque,” The Associated Press, January 28, 2000."
2000,1,28,Sindh,Karachi,24.891115,67.143311,1,,0,A courthouse in Karachi,Unknown,0,4,"Zahid Hussain, “Bomb kills four, wounds 28 in Karachi mosque,” The Associated Press, January 28, 2000."
2000,1,29,Punjab,Sialkot,32.493537,74.530343,1,,0,A bicycle repair shop in Sialkot,Unknown,2,3,"“Two killed, three injured in bomb blast in Pakistani border city,” Agence France Presse, January 29, 2000."
2000,2,5,Sindh,Hyderabad,25.389288,68.357338,1,"Outside of the Hyderabad train station in Hyderabad, heading east to Mirpur Khas, about 100 miles north of the port city of Karachi",0,Civilians traveling on a passenger train in Pakistan,Unknown,4,15,"""Four dead in Pakistan train bombing,"" Associated Press, February 5, 2000."
2000,3,28,Federally Administered Tribal Areas,Torkham,34.120224,71.101242,1,,0,"Civilians in a market in Torkham, Pakistan",Unknown,7,27,"“Six Afghan Children, 1 Tribesman Killed in Border Blast,” Agence France Presse, March 28, 2000."
2000,4,5,Sindh,Hyderabad,25.389288,68.357338,1,80 km (50 miles) north of Karachi,0,The District and Sessions Court complex in Hyderabad,Unknown,0,7,"""Seven injured in Pakistani court bomb blast,"" Agence France-Presse, April 5, 2000."
2000,4,7,Punjab,Rawalpindi,33.594013,73.069077,1,,0,"Tourists staying at the Maqbool Hotel in Rawalpindi, Pakistan",Unknown,0,4,"“Four injured in Pakistani bomb blast,” Agence France Presse, April 7, 2000."
2000,4,7,Punjab,Lahore,31.50547,74.34288,1,,0,"Public bus in Lahore, Pakistan",Unknown,0,15,"“Four injured in Pakistani bomb blast,” Agence France Presse, April 7, 2000."
2000,4,12,Punjab,Mallow Wali,32.222559,74.450203,1,,0,"Mallow Wali Mosque in Mallow Wali, Pakistan",Unknown,16,,"“Pakistan: At Least 15 Killed in Attack on Mosque,” The News, April 12, 2000."
2000,4,24,Balochistan,Quetta,30.200819,66.994354,1,,0,The Commissioner Marjan Khan's office and staff,Unknown,0,2,""" Series of bombs explode in southwest Pakistan,"" Dow Jones International News, April 24, 2000."
2000,4,24,Balochistan,Quetta,30.200819,66.994354,1,"Block-1 of the Balochistan Secretariat, Quetta",0,The Balochistan Secretariat Ashraf Nasir's office and staff,Unknown,0,3,""" Series of bombs explode in southwest Pakistan,"" Dow Jones International News, April 24, 2000."
2000,4,24,Balochistan,Quetta,30.200819,66.994354,1,,0,The provincial home secretary Shehryar Masood's office and staff,Unknown,0,0,""" Series of bombs explode in southwest Pakistan,"" Dow Jones International News, April 24, 2000."
2000,5,5,Sindh,Karachi,24.891115,67.143311,1,,0,Karachi Police Force,Unknown,2,4,"Shahid Iqbal, ""Blasts Kill Two in Pakistan,"" Agence France Presse, May 5, 2000."
2000,5,5,Sindh,Karachi,24.891115,67.143311,1,,0,Karachi civilians,Unknown,0,2,"Shahid Iqbal, ""Blasts Kill Two in Pakistan,"" Agence France Presse, May 5, 2000."
2000,7,7,Punjab,Lahore,31.50547,74.34288,1,,0,Passengers on a public bus,Unknown,1,3,"""Four hurt as bomb explodes in Pakistan,"" Agence France-Presse, July 7, 2000."
2000,7,13,Punjab,Lahore,31.449993,74.355636,1,,0,Indiscriminate civilians in Chungi Amar Sidhu,Unknown,0,5,"""Security beefed up in Lahore,” The Pakistan Newswire, July 14, 2000."
2000,7,16,Sindh,Hyderabad,25.389288,68.357338,1,,0,The Karachi-bound Mehran Express,Unknown,9,25,"“Nine die in bomb blast on Pakistani train,” Agence France Presse, July 16, 2000."
2000,7,22,Balochistan,Quetta,30.200819,66.994354,1,,0,Civilians at Jinnah Market,Unknown,7,25,"“Police make little headway after bomb blasts in Pakistan,” Deutsche Presse-Agentur, July 23, 2000."
